slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
DigitalSlide_B1M_2S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_3S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B1M_5S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B2M_11S_1_20210826183548302,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_12S_1_20210826183648767,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_1S_1,0,processed,6,15,11,4,False,none,none,100.0,16.0,8,6,150,True,four_pt
DigitalSlide_B2M_1S_1_20210826183728179,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_3S_1_20210826183921228,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_4S_1_20210826184014839,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_5S_1_20210826184054251,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_6S_1_20210826184158873,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_7S_1_20210826184304020,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_8S_1_20210826184401956,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B2M_9S_1_20210826184515465,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_11S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_14S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_16S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_6S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_7S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_B9M_8S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_12S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_14S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_19S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_1S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_2S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_3S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_C10M_9S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_D4M_1S_1_20210922131645990,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_D4M_2S_1_20210922131740429,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_E10M_7S_1_20210914145322714,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_E6M_15S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_E6M_17S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
DigitalSlide_E6M_20S_1,0,already_exist,-1,15,11,4,False,none,none,100.0,16.0,8,-1,150,True,four_pt
